Country Name,Country Code,Health Spending As % of GDP
Tuvalu,TUV,17.1425551
United States,USA,17.0612693
Marshall Islands,MHL,16.4029405
Sierra Leone,SLE,13.4209275
"Micronesia, Fed. Sts.",FSM,12.3515494
Switzerland,CHE,12.3463221
Palau,PLW,11.9611621
Afghanistan,AFG,11.7771938
Cuba,CUB,11.711327
France,FRA,11.3128923
Germany,DEU,11.2468347
Sweden,SWE,11.0187463
Nauru,NRU,11.0175155
Japan,JPN,10.9359331
Kiribati,KIR,10.7575968
Canada,CAN,10.5727695
Norway,NOR,10.4463421
Austria,AUT,10.3966169
Armenia,ARM,10.3627048
Belgium,BEL,10.3386693
Andorra,AND,10.3205524
Denmark,DNK,10.1082794
Netherlands,NLD,10.1008348
South Sudan,SSD,9.76099446
Malawi,MWI,9.64823142
United Kingdom,GBR,9.63169411
Brazil,BRA,9.46747661
Malta,MLT,9.34099928
Uruguay,URY,9.2962116
Finland,FIN,9.20693874
Australia,AUS,9.20594782
New Zealand,NZL,9.17005539
Argentina,ARG,9.12431479
Maldives,MDV,9.02997628
Chile,CHL,8.98350999
Portugal,PRT,8.96957442
Bosnia and Herzegovina,BIH,8.93166736
Spain,ESP,8.87312964
Italy,ITA,8.84025916
Lesotho,LSO,8.76315832
"Iran, Islamic Rep.",IRN,8.6596638
Nicaragua,NIC,8.64546522
Namibia,NAM,8.55095685
Serbia,SRB,8.43395814
Iceland,ISL,8.32629129
Ecuador,ECU,8.2574293
Lebanon,LBN,8.19554403
Slovenia,SVN,8.18701759
Liberia,LBR,8.15533772
Jordan,JOR,8.11925083
South Africa,ZAF,8.11311826
Bulgaria,BGR,8.09560344
Greece,GRC,8.04139003
Haiti,HTI,8.03550109
Honduras,HND,7.85842538
Niger,NER,7.73996264
"Korea, Rep.",KOR,7.60386363
Georgia,GEO,7.601659
Burundi,BDI,7.51757026
Israel,ISR,7.40746409
Comoros,COM,7.38437399
San Marino,SMR,7.36408308
Costa Rica,CRI,7.32879639
Panama,PAN,7.31949136
Guinea-Bissau,GNB,7.23586902
Tunisia,TUN,7.2324574
Czech Republic,CZE,7.23133907
Tajikistan,TJK,7.22881481
El Salvador,SLV,7.22756013
Colombia,COL,7.22628087
Ireland,IRL,7.18438327
Moldova,MDA,7.01295063
Ukraine,UKR,6.99532032
Trinidad and Tobago,TTO,6.97873533
Turkmenistan,TKM,6.93044811
Eswatini,SWZ,6.93037808
Burkina Faso,BFA,6.91505969
Hungary,HUN,6.8799898
Croatia,HRV,6.7891337
Barbados,BRB,6.77912682
Slovak Republic,SVK,6.74253479
Cyprus,CYP,6.68456927
Paraguay,PRY,6.65456876
Azerbaijan,AZE,6.65182918
Zimbabwe,ZWE,6.63591623
Rwanda,RWA,6.57159835
Poland,POL,6.54195398
Lithuania,LTU,6.45756423
Bolivia,BOL,6.44316077
Estonia,EST,6.42935783
Uzbekistan,UZB,6.41438514
Algeria,DZA,6.37432188
Sudan,SDN,6.34180754
Sao Tome and Principe,STP,6.22999147
Suriname,SUR,6.22976981
Togo,TGO,6.19951226
Uganda,UGA,6.18775599
Kyrgyz Republic,KGZ,6.18586317
Dominican Republic,DOM,6.13639504
Botswana,BWA,6.13456815
North Macedonia,MKD,6.06211498
Jamaica,JAM,5.98841682
Latvia,LVA,5.95566183
Belarus,BLR,5.92578575
Cambodia,KHM,5.91884181
Dominica,DMA,5.87688908
Central African Republic,CAF,5.82177565
Guatemala,GTM,5.81384376
"Bahamas, The",BHS,5.75888902
Mauritius,MUS,5.7187207
Belize,BLZ,5.64282276
Nepal,NPL,5.55329509
Vietnam,VNM,5.53212836
Mexico,MEX,5.51654138
Madagascar,MDG,5.50203808
Samoa,WSM,5.48278578
Luxembourg,LUX,5.48107438
Russian Federation,RUS,5.34457788
Kuwait,KWT,5.29138483
"Egypt, Arab Rep.",EGY,5.28763682
Tonga,TON,5.26931137
Morocco,MAR,5.24520017
Saudi Arabia,SAU,5.23025319
Cabo Verde,CPV,5.16548865
Romania,ROU,5.15788831
China,CHN,5.15119322
St. Kitts and Nevis,KNA,5.03680706
Seychelles,SYC,5.00673503
Peru,PER,4.99515049
Guyana,GUY,4.94550988
Mozambique,MOZ,4.94119823
Kenya,KEN,4.8025433
Grenada,GRD,4.75711748
Bahrain,BHR,4.74810489
Solomon Islands,SLB,4.68491912
Cameroon,CMR,4.6706669
Myanmar,MMR,4.65907231
St. Lucia,LCA,4.54588681
Antigua and Barbuda,ATG,4.53353189
Chad,TCD,4.48730141
St. Vincent and the Grenadines,VCT,4.4871252
Zambia,ZMB,4.47034128
Cote d'Ivoire,CIV,4.45303433
Philippines,PHL,4.44640778
Singapore,SGP,4.44038287
Mauritania,MRT,4.40315157
Turkey,TUR,4.21630293
Iraq,IRQ,4.16663028
Senegal,SEN,4.1340638
Guinea,GIN,4.12308685
Mongolia,MNG,4.00230102
"Congo, Dem. Rep.",COD,3.97872292
Timor-Leste,TLS,3.8822934
Malaysia,MYS,3.85939814
Oman,OMN,3.84907164
Sri Lanka,LKA,3.8114205
Mali,MLI,3.79398502
Nigeria,NGA,3.75553854
Thailand,THA,3.74601632
Benin,BEN,3.71858217
Tanzania,TZA,3.64545137
India,IND,3.53495963
Ethiopia,ETH,3.50255743
Fiji,FJI,3.5007447
United Arab Emirates,ARE,3.33428234
Vanuatu,VUT,3.3168532
Djibouti,DJI,3.31651792
"Gambia, The",GMB,3.28207128
Ghana,GHA,3.26237045
Bhutan,BTN,3.18696238
Kazakhstan,KAZ,3.12536173
Equatorial Guinea,GNQ,3.10709421
Indonesia,IDN,2.98905447
"Congo, Rep.",COG,2.93027926
Pakistan,PAK,2.89863367
Eritrea,ERI,2.87002344
Angola,AGO,2.79150028
Gabon,GAB,2.78074592
Qatar,QAT,2.60742866
Lao PDR,LAO,2.52808686
Papua New Guinea,PNG,2.46927608
Brunei Darussalam,BRN,2.37320773
Bangladesh,BGD,2.27424875
Monaco,MCO,1.7727023
"Venezuela, RB",VEN,1.18121011
